LN3207 TRENT EAST JUNCTION TO CLAY CROSS NORTH JUNCTION			
TIMING POINT	DOWN	UP	NOTES
""			
"Trent East Jn to Clay Cross NorthJn (Fast Lines)"	"3 non-stop31⁄2 Class 44 Class 64 stopping"	"3 non-stop31⁄2 Class 44 Class 64 stopping"	
"Trent East Jn to Ironville Jn (SlowLines)"	5	5	
"LN3210 JUNCTION ROAD JUNCTION TO CARLTON ROAD JUNCTION(TOTTENHAM LINES)"			
TIMING POINT	DOWN	UP	NOTES
""			
Carlton Rd Jn to Junction Road Jn	AB+2*	AB+2*	*TCB plan as AB
LN3213 FARRINGDON TO KENTISH TOWN JUNCTION (MOORGATE LINES)			
TIMING POINT	DOWN	UP	NOTES
""			
Farringdon to Kentish Town	21⁄2	21⁄2	
LN3214 BELLE ISLE JUNCTION TO CANAL TUNNEL JUNCTION			
TIMING POINT	DOWN	UP	NOTES
""			
"Belle Isle Junction to Canal TunnelJunction"	21⁄2	21⁄2	
LN3219 CRICKLEWOOD CURVE JUNCTION TO DUDDING HILL JUNCTION			
TIMING POINT	DOWN	UP	NOTES
""			
"Cricklewood Curve Jn to DuddingHill Jn"	5	5	
LN3228 TRENT EAST JUNCTION TO SHEET STORES JUNCTION			
TIMING POINT	DOWN	UP	NOTES
""			
Trent East Jn to Sheet Stores Jn	AB+2*	AB+2*	TCB plan as AB
LN3231 WIGSTON SOUTH JUNCTION TO GLEN PARVA JUNCTION			
TIMING POINT	DOWN	UP	NOTES
""			
Wigston South Jn to Glen Parva Jn	AB+2*	AB+2*	*TCB planned as AB
